protocol_id,target_dataset,event,evidence_type,cycle,run_cycles
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,low_activity_evidence,4920.5,100.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,low_activity_evidence,5125.5,0.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,low_activity_evidence,5325.5,100.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,low_activity_evidence,5415.5,0.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,low_activity_evidence,5830.5,100.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,low_activity_evidence,6315.5,0.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,low_activity_evidence,6450.5,100.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,low_activity_evidence,6630.5,0.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,low_activity_evidence,6745.5,100.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,low_activity_evidence,6915.5,0.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,low_activity_evidence,7165.5,100.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,low_activity_evidence,7195.5,0.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,abrupt_change_evidence,7295.5,100.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,abrupt_change_evidence,7325.5,0.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,low_activity_evidence,7390.5,100.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,low_activity_evidence,7800.5,0.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,abrupt_change_evidence,7870.5,100.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,abrupt_change_evidence,7915.5,0.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,low_activity_evidence,7940.5,100.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,low_activity_evidence,8130.5,0.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,low_activity_evidence,8240.5,100.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,low_activity_evidence,8410.5,0.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,abrupt_change_evidence,8790.5,100.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,abrupt_change_evidence,8820.5,0.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,abrupt_change_evidence,9395.5,100.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,abrupt_change_evidence,9420.5,0.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,abrupt_change_evidence,9940.5,100.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,abrupt_change_evidence,10130.5,0.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,abrupt_change_evidence,10285.5,100.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,acceleration_evidence,10455.5,100.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,abrupt_change_evidence,10615.5,0.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,acceleration_evidence,10620.5,0.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,low_activity_evidence,10730.5,100.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,low_activity_evidence,10815.5,0.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,abrupt_change_evidence,10890.5,100.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,abrupt_change_evidence,10920.5,0.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,low_activity_evidence,10975.5,100.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,low_activity_evidence,11130.5,0.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,low_activity_evidence,11265.5,100.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,low_activity_evidence,11410.5,0.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,abrupt_change_evidence,11785.5,100.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,abrupt_change_evidence,11825.5,0.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,acceleration_evidence,11980.5,100.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,abrupt_change_evidence,12180.5,100.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,abrupt_change_evidence,12210.5,0.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,acceleration_evidence,12235.5,0.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,abrupt_change_evidence,12685.5,100.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,abrupt_change_evidence,12765.5,0.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,abrupt_change_evidence,13290.5,100.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,abrupt_change_evidence,13315.5,0.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,acceleration_evidence,13930.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,low_activity_evidence,460.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,low_activity_evidence,735.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,low_activity_evidence,1270.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,low_activity_evidence,1340.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,low_activity_evidence,1690.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,low_activity_evidence,2230.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,low_activity_evidence,3205.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,low_activity_evidence,3630.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,low_activity_evidence,4475.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,low_activity_evidence,4800.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,low_activity_evidence,4980.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,low_activity_evidence,5150.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,low_activity_evidence,5845.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,low_activity_evidence,6130.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,low_activity_evidence,6465.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,low_activity_evidence,6695.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,low_activity_evidence,7225.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,low_activity_evidence,7345.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,directed_change_evidence,8180.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,directed_change_evidence,8245.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,low_activity_evidence,8385.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,low_activity_evidence,8645.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,low_activity_evidence,9450.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,low_activity_evidence,10240.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,low_activity_evidence,10360.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,low_activity_evidence,10830.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,low_activity_evidence,10980.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,low_activity_evidence,12810.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,low_activity_evidence,12920.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,low_activity_evidence,13685.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,low_activity_evidence,13920.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,low_activity_evidence,13970.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,low_activity_evidence,14230.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,low_activity_evidence,14365.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,abrupt_change_evidence,14455.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,acceleration_evidence,14660.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,acceleration_evidence,14740.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,abrupt_change_evidence,14740.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,acceleration_evidence,14920.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,acceleration_evidence,14945.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,acceleration_evidence,15180.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,abrupt_change_evidence,15185.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,acceleration_evidence,15300.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,abrupt_change_evidence,15300.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,abrupt_change_evidence,15690.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,acceleration_evidence,15695.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,acceleration_evidence,17195.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,abrupt_change_evidence,17195.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,acceleration_evidence,17315.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,abrupt_change_evidence,17315.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,abrupt_change_evidence,17880.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,acceleration_evidence,17975.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,abrupt_change_evidence,18265.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,acceleration_evidence,18270.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,abrupt_change_evidence,18345.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,acceleration_evidence,18430.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,low_activity_evidence,19955.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,low_activity_evidence,20110.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,acceleration_evidence,20730.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,abrupt_change_evidence,20855.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,acceleration_evidence,21180.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,abrupt_change_evidence,21390.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,low_activity_evidence,21780.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,low_activity_evidence,21835.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,low_activity_evidence,22775.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,low_activity_evidence,22885.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,low_activity_evidence,23185.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,low_activity_evidence,23230.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,low_activity_evidence,23745.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,low_activity_evidence,23805.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,low_activity_evidence,24175.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,low_activity_evidence,25140.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,low_activity_evidence,25405.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,low_activity_evidence,26785.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,low_activity_evidence,26915.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,low_activity_evidence,27700.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,abrupt_change_evidence,27925.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,abrupt_change_evidence,27955.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,low_activity_evidence,28800.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,low_activity_evidence,28865.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,low_activity_evidence,29190.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,low_activity_evidence,30250.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,low_activity_evidence,30400.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,low_activity_evidence,30815.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,low_activity_evidence,30985.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,low_activity_evidence,31700.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,low_activity_evidence,31810.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,low_activity_evidence,31945.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,low_activity_evidence,32175.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,low_activity_evidence,32210.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,low_activity_evidence,32320.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,low_activity_evidence,32650.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,low_activity_evidence,32925.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,low_activity_evidence,32960.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,low_activity_evidence,33210.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,low_activity_evidence,33715.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,low_activity_evidence,33825.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,low_activity_evidence,34335.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,low_activity_evidence,34475.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,low_activity_evidence,34625.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,low_activity_evidence,35660.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,low_activity_evidence,35815.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,low_activity_evidence,38875.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,low_activity_evidence,38980.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,low_activity_evidence,39435.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,low_activity_evidence,39630.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,low_activity_evidence,40250.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,low_activity_evidence,40295.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,low_activity_evidence,40455.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,low_activity_evidence,40810.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,low_activity_evidence,41280.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,low_activity_evidence,41330.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,abrupt_change_evidence,41455.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,abrupt_change_evidence,41660.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,acceleration_evidence,42305.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,acceleration_evidence,42330.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,low_activity_evidence,42410.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,low_activity_evidence,42450.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,acceleration_evidence,42810.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,acceleration_evidence,42840.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,abrupt_change_evidence,43275.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,abrupt_change_evidence,43310.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,acceleration_evidence,43465.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,abrupt_change_evidence,43480.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,acceleration_evidence,44195.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,abrupt_change_evidence,44195.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,acceleration_evidence,44380.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,abrupt_change_evidence,44385.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,acceleration_evidence,45175.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,abrupt_change_evidence,45175.5,0.0
