protocol_id,target_dataset,baseline_cycles,distance_form,removed_feature_group,feature_count,evidence_type,trajectory_spearman,reference_first_onset_cycle,ablation_first_onset_cycle,event_position_delta_cycles,event_presence_matches,trajectory_stable,event_position_stable,stability_status
A_Exp1_to_Exp2,Exp2,250,mahalanobis,rs,5,abrupt_change_evidence,0.8697810195731477,2790.5,425.5,-2365.0,True,True,False,FAIL
A_Exp1_to_Exp2,Exp2,250,diagonal,none,10,low_activity_evidence,0.8378966145940158,205.5,260.5,55.0,True,True,True,PASS
A_Exp1_to_Exp2,Exp2,250,diagonal,none,10,directed_change_evidence,0.8378966145940158,,,,True,True,True,PASS
A_Exp1_to_Exp2,Exp2,250,diagonal,none,10,acceleration_evidence,0.8378966145940158,3775.5,845.5,-2930.0,True,True,False,FAIL
A_Exp1_to_Exp2,Exp2,250,diagonal,none,10,abrupt_change_evidence,0.8378966145940158,2790.5,390.5,-2400.0,True,True,False,FAIL
A_Exp1_to_Exp2,Exp2,250,diagonal,rx,6,low_activity_evidence,0.7579521764037681,205.5,255.5,50.0,True,False,True,FAIL
A_Exp1_to_Exp2,Exp2,250,diagonal,rx,6,directed_change_evidence,0.7579521764037681,,9985.5,,False,False,False,FAIL
A_Exp1_to_Exp2,Exp2,250,diagonal,rx,6,acceleration_evidence,0.7579521764037681,3775.5,1215.5,-2560.0,True,False,False,FAIL
A_Exp1_to_Exp2,Exp2,250,diagonal,rx,6,abrupt_change_evidence,0.7579521764037681,2790.5,390.5,-2400.0,True,False,False,FAIL
A_Exp1_to_Exp2,Exp2,250,diagonal,ry,9,low_activity_evidence,0.7773760071933598,205.5,260.5,55.0,True,False,True,FAIL
A_Exp1_to_Exp2,Exp2,250,diagonal,ry,9,directed_change_evidence,0.7773760071933598,,,,True,False,True,FAIL
A_Exp1_to_Exp2,Exp2,250,diagonal,ry,9,acceleration_evidence,0.7773760071933598,3775.5,650.5,-3125.0,True,False,False,FAIL
A_Exp1_to_Exp2,Exp2,250,diagonal,ry,9,abrupt_change_evidence,0.7773760071933598,2790.5,390.5,-2400.0,True,False,False,FAIL
A_Exp1_to_Exp2,Exp2,250,diagonal,rs,5,low_activity_evidence,0.9397407268356863,205.5,1765.5,1560.0,True,True,False,FAIL
A_Exp1_to_Exp2,Exp2,250,diagonal,rs,5,directed_change_evidence,0.9397407268356863,,13185.5,,False,True,False,FAIL
A_Exp1_to_Exp2,Exp2,250,diagonal,rs,5,acceleration_evidence,0.9397407268356863,3775.5,840.5,-2935.0,True,True,False,FAIL
A_Exp1_to_Exp2,Exp2,250,diagonal,rs,5,abrupt_change_evidence,0.9397407268356863,2790.5,395.5,-2395.0,True,True,False,FAIL
A_Exp1_to_Exp2,Exp2,500,mahalanobis,none,10,low_activity_evidence,0.9999999999999999,205.5,205.5,0.0,True,True,True,PASS
A_Exp1_to_Exp2,Exp2,500,mahalanobis,none,10,directed_change_evidence,0.9999999999999999,,,,True,True,True,PASS
A_Exp1_to_Exp2,Exp2,500,mahalanobis,none,10,acceleration_evidence,0.9999999999999999,3775.5,3775.5,0.0,True,True,True,PASS
A_Exp1_to_Exp2,Exp2,500,mahalanobis,none,10,abrupt_change_evidence,0.9999999999999999,2790.5,2790.5,0.0,True,True,True,PASS
A_Exp1_to_Exp2,Exp2,500,mahalanobis,rx,6,low_activity_evidence,0.933026643036883,205.5,205.5,0.0,True,True,True,PASS
A_Exp1_to_Exp2,Exp2,500,mahalanobis,rx,6,directed_change_evidence,0.933026643036883,,9980.5,,False,True,False,FAIL
A_Exp1_to_Exp2,Exp2,500,mahalanobis,rx,6,acceleration_evidence,0.933026643036883,3775.5,10440.5,6665.0,True,True,False,FAIL
A_Exp1_to_Exp2,Exp2,500,mahalanobis,rx,6,abrupt_change_evidence,0.933026643036883,2790.5,2790.5,0.0,True,True,True,PASS
A_Exp1_to_Exp2,Exp2,500,mahalanobis,ry,9,low_activity_evidence,0.9148506490310173,205.5,205.5,0.0,True,True,True,PASS
A_Exp1_to_Exp2,Exp2,500,mahalanobis,ry,9,directed_change_evidence,0.9148506490310173,,,,True,True,True,PASS
A_Exp1_to_Exp2,Exp2,500,mahalanobis,ry,9,acceleration_evidence,0.9148506490310173,3775.5,8620.5,4845.0,True,True,False,FAIL
A_Exp1_to_Exp2,Exp2,500,mahalanobis,ry,9,abrupt_change_evidence,0.9148506490310173,2790.5,2790.5,0.0,True,True,True,PASS
A_Exp1_to_Exp2,Exp2,500,mahalanobis,rs,5,low_activity_evidence,0.9192093551451085,205.5,205.5,0.0,True,True,True,PASS
A_Exp1_to_Exp2,Exp2,500,mahalanobis,rs,5,directed_change_evidence,0.9192093551451085,,,,True,True,True,PASS
A_Exp1_to_Exp2,Exp2,500,mahalanobis,rs,5,acceleration_evidence,0.9192093551451085,3775.5,12175.5,8400.0,True,True,False,FAIL
A_Exp1_to_Exp2,Exp2,500,mahalanobis,rs,5,abrupt_change_evidence,0.9192093551451085,2790.5,2790.5,0.0,True,True,True,PASS
A_Exp1_to_Exp2,Exp2,500,diagonal,none,10,low_activity_evidence,0.9420541962848474,205.5,215.5,10.0,True,True,True,PASS
A_Exp1_to_Exp2,Exp2,500,diagonal,none,10,directed_change_evidence,0.9420541962848474,,,,True,True,True,PASS
A_Exp1_to_Exp2,Exp2,500,diagonal,none,10,acceleration_evidence,0.9420541962848474,3775.5,,,False,True,False,FAIL
A_Exp1_to_Exp2,Exp2,500,diagonal,none,10,abrupt_change_evidence,0.9420541962848474,2790.5,,,False,True,False,FAIL
A_Exp1_to_Exp2,Exp2,500,diagonal,rx,6,low_activity_evidence,0.8590731575291091,205.5,205.5,0.0,True,True,True,PASS
A_Exp1_to_Exp2,Exp2,500,diagonal,rx,6,directed_change_evidence,0.8590731575291091,,9980.5,,False,True,False,FAIL
A_Exp1_to_Exp2,Exp2,500,diagonal,rx,6,acceleration_evidence,0.8590731575291091,3775.5,,,False,True,False,FAIL
A_Exp1_to_Exp2,Exp2,500,diagonal,rx,6,abrupt_change_evidence,0.8590731575291091,2790.5,,,False,True,False,FAIL
A_Exp1_to_Exp2,Exp2,500,diagonal,ry,9,low_activity_evidence,0.9021365834021652,205.5,215.5,10.0,True,True,True,PASS
A_Exp1_to_Exp2,Exp2,500,diagonal,ry,9,directed_change_evidence,0.9021365834021652,,,,True,True,True,PASS
A_Exp1_to_Exp2,Exp2,500,diagonal,ry,9,acceleration_evidence,0.9021365834021652,3775.5,,,False,True,False,FAIL
A_Exp1_to_Exp2,Exp2,500,diagonal,ry,9,abrupt_change_evidence,0.9021365834021652,2790.5,,,False,True,False,FAIL
A_Exp1_to_Exp2,Exp2,500,diagonal,rs,5,low_activity_evidence,0.9308064105410352,205.5,215.5,10.0,True,True,True,PASS
A_Exp1_to_Exp2,Exp2,500,diagonal,rs,5,directed_change_evidence,0.9308064105410352,,,,True,True,True,PASS
A_Exp1_to_Exp2,Exp2,500,diagonal,rs,5,acceleration_evidence,0.9308064105410352,3775.5,,,False,True,False,FAIL
A_Exp1_to_Exp2,Exp2,500,diagonal,rs,5,abrupt_change_evidence,0.9308064105410352,2790.5,,,False,True,False,FAIL
A_Exp1_to_Exp2,Exp2,1000,mahalanobis,none,10,low_activity_evidence,0.9323761262363898,205.5,205.5,0.0,True,True,True,PASS
A_Exp1_to_Exp2,Exp2,1000,mahalanobis,none,10,directed_change_evidence,0.9323761262363898,,,,True,True,True,PASS
A_Exp1_to_Exp2,Exp2,1000,mahalanobis,none,10,acceleration_evidence,0.9323761262363898,3775.5,,,False,True,False,FAIL
A_Exp1_to_Exp2,Exp2,1000,mahalanobis,none,10,abrupt_change_evidence,0.9323761262363898,2790.5,,,False,True,False,FAIL
A_Exp1_to_Exp2,Exp2,1000,mahalanobis,rx,6,low_activity_evidence,0.7955623374796381,205.5,205.5,0.0,True,False,True,FAIL
A_Exp1_to_Exp2,Exp2,1000,mahalanobis,rx,6,directed_change_evidence,0.7955623374796381,,,,True,False,True,FAIL
A_Exp1_to_Exp2,Exp2,1000,mahalanobis,rx,6,acceleration_evidence,0.7955623374796381,3775.5,,,False,False,False,FAIL
A_Exp1_to_Exp2,Exp2,1000,mahalanobis,rx,6,abrupt_change_evidence,0.7955623374796381,2790.5,,,False,False,False,FAIL
A_Exp1_to_Exp2,Exp2,1000,mahalanobis,ry,9,low_activity_evidence,0.9043920322576033,205.5,205.5,0.0,True,True,True,PASS
A_Exp1_to_Exp2,Exp2,1000,mahalanobis,ry,9,directed_change_evidence,0.9043920322576033,,,,True,True,True,PASS
A_Exp1_to_Exp2,Exp2,1000,mahalanobis,ry,9,acceleration_evidence,0.9043920322576033,3775.5,,,False,True,False,FAIL
A_Exp1_to_Exp2,Exp2,1000,mahalanobis,ry,9,abrupt_change_evidence,0.9043920322576033,2790.5,,,False,True,False,FAIL
A_Exp1_to_Exp2,Exp2,1000,mahalanobis,rs,5,low_activity_evidence,0.8243542932336284,205.5,205.5,0.0,True,True,True,PASS
A_Exp1_to_Exp2,Exp2,1000,mahalanobis,rs,5,directed_change_evidence,0.8243542932336284,,,,True,True,True,PASS
A_Exp1_to_Exp2,Exp2,1000,mahalanobis,rs,5,acceleration_evidence,0.8243542932336284,3775.5,,,False,True,False,FAIL
A_Exp1_to_Exp2,Exp2,1000,mahalanobis,rs,5,abrupt_change_evidence,0.8243542932336284,2790.5,,,False,True,False,FAIL
A_Exp1_to_Exp2,Exp2,1000,diagonal,none,10,low_activity_evidence,0.8675458610696722,205.5,205.5,0.0,True,True,True,PASS
A_Exp1_to_Exp2,Exp2,1000,diagonal,none,10,directed_change_evidence,0.8675458610696722,,,,True,True,True,PASS
A_Exp1_to_Exp2,Exp2,1000,diagonal,none,10,acceleration_evidence,0.8675458610696722,3775.5,,,False,True,False,FAIL
A_Exp1_to_Exp2,Exp2,1000,diagonal,none,10,abrupt_change_evidence,0.8675458610696722,2790.5,,,False,True,False,FAIL
A_Exp1_to_Exp2,Exp2,1000,diagonal,rx,6,low_activity_evidence,0.7659411693983349,205.5,205.5,0.0,True,False,True,FAIL
A_Exp1_to_Exp2,Exp2,1000,diagonal,rx,6,directed_change_evidence,0.7659411693983349,,,,True,False,True,FAIL
A_Exp1_to_Exp2,Exp2,1000,diagonal,rx,6,acceleration_evidence,0.7659411693983349,3775.5,,,False,False,False,FAIL
A_Exp1_to_Exp2,Exp2,1000,diagonal,rx,6,abrupt_change_evidence,0.7659411693983349,2790.5,,,False,False,False,FAIL
A_Exp1_to_Exp2,Exp2,1000,diagonal,ry,9,low_activity_evidence,0.8624126586183958,205.5,205.5,0.0,True,True,True,PASS
A_Exp1_to_Exp2,Exp2,1000,diagonal,ry,9,directed_change_evidence,0.8624126586183958,,,,True,True,True,PASS
A_Exp1_to_Exp2,Exp2,1000,diagonal,ry,9,acceleration_evidence,0.8624126586183958,3775.5,,,False,True,False,FAIL
A_Exp1_to_Exp2,Exp2,1000,diagonal,ry,9,abrupt_change_evidence,0.8624126586183958,2790.5,,,False,True,False,FAIL
A_Exp1_to_Exp2,Exp2,1000,diagonal,rs,5,low_activity_evidence,0.9099777324257616,205.5,205.5,0.0,True,True,True,PASS
A_Exp1_to_Exp2,Exp2,1000,diagonal,rs,5,directed_change_evidence,0.9099777324257616,,,,True,True,True,PASS
A_Exp1_to_Exp2,Exp2,1000,diagonal,rs,5,acceleration_evidence,0.9099777324257616,3775.5,,,False,True,False,FAIL
A_Exp1_to_Exp2,Exp2,1000,diagonal,rs,5,abrupt_change_evidence,0.9099777324257616,2790.5,,,False,True,False,FAIL
B_Exp2_to_Exp1,Exp1,250,mahalanobis,none,10,low_activity_evidence,0.9854391358277104,460.5,230.5,-230.0,True,True,True,PASS
B_Exp2_to_Exp1,Exp1,250,mahalanobis,none,10,directed_change_evidence,0.9854391358277104,8180.5,39950.5,31770.0,True,True,False,FAIL
B_Exp2_to_Exp1,Exp1,250,mahalanobis,none,10,acceleration_evidence,0.9854391358277104,14660.5,9300.5,-5360.0,True,True,False,FAIL
B_Exp2_to_Exp1,Exp1,250,mahalanobis,none,10,abrupt_change_evidence,0.9854391358277104,14455.5,14450.5,-5.0,True,True,True,PASS
B_Exp2_to_Exp1,Exp1,250,mahalanobis,rx,6,low_activity_evidence,0.863003249927985,460.5,380.5,-80.0,True,True,True,PASS
B_Exp2_to_Exp1,Exp1,250,mahalanobis,rx,6,directed_change_evidence,0.863003249927985,8180.5,39945.5,31765.0,True,True,False,FAIL
B_Exp2_to_Exp1,Exp1,250,mahalanobis,rx,6,acceleration_evidence,0.863003249927985,14660.5,9300.5,-5360.0,True,True,False,FAIL
B_Exp2_to_Exp1,Exp1,250,mahalanobis,rx,6,abrupt_change_evidence,0.863003249927985,14455.5,20930.5,6475.0,True,True,False,FAIL
B_Exp2_to_Exp1,Exp1,250,mahalanobis,ry,9,low_activity_evidence,0.9261150832423926,460.5,315.5,-145.0,True,True,True,PASS
B_Exp2_to_Exp1,Exp1,250,mahalanobis,ry,9,directed_change_evidence,0.9261150832423926,8180.5,8185.5,5.0,True,True,True,PASS
B_Exp2_to_Exp1,Exp1,250,mahalanobis,ry,9,acceleration_evidence,0.9261150832423926,14660.5,14665.5,5.0,True,True,True,PASS
B_Exp2_to_Exp1,Exp1,250,mahalanobis,ry,9,abrupt_change_evidence,0.9261150832423926,14455.5,14450.5,-5.0,True,True,True,PASS
B_Exp2_to_Exp1,Exp1,250,mahalanobis,rs,5,low_activity_evidence,0.8618271873613065,460.5,240.5,-220.0,True,True,True,PASS
B_Exp2_to_Exp1,Exp1,250,mahalanobis,rs,5,directed_change_evidence,0.8618271873613065,8180.5,39945.5,31765.0,True,True,False,FAIL
B_Exp2_to_Exp1,Exp1,250,mahalanobis,rs,5,acceleration_evidence,0.8618271873613065,14660.5,9315.5,-5345.0,True,True,False,FAIL
B_Exp2_to_Exp1,Exp1,250,mahalanobis,rs,5,abrupt_change_evidence,0.8618271873613065,14455.5,20915.5,6460.0,True,True,False,FAIL
B_Exp2_to_Exp1,Exp1,250,diagonal,none,10,low_activity_evidence,0.4411303368062236,460.5,320.5,-140.0,True,False,True,FAIL
B_Exp2_to_Exp1,Exp1,250,diagonal,none,10,directed_change_evidence,0.4411303368062236,8180.5,,,False,False,False,FAIL
B_Exp2_to_Exp1,Exp1,250,diagonal,none,10,acceleration_evidence,0.4411303368062236,14660.5,,,False,False,False,FAIL
B_Exp2_to_Exp1,Exp1,250,diagonal,none,10,abrupt_change_evidence,0.4411303368062236,14455.5,,,False,False,False,FAIL
B_Exp2_to_Exp1,Exp1,250,diagonal,rx,6,low_activity_evidence,0.5113902263858333,460.5,320.5,-140.0,True,False,True,FAIL
B_Exp2_to_Exp1,Exp1,250,diagonal,rx,6,directed_change_evidence,0.5113902263858333,8180.5,,,False,False,False,FAIL
B_Exp2_to_Exp1,Exp1,250,diagonal,rx,6,acceleration_evidence,0.5113902263858333,14660.5,,,False,False,False,FAIL
B_Exp2_to_Exp1,Exp1,250,diagonal,rx,6,abrupt_change_evidence,0.5113902263858333,14455.5,,,False,False,False,FAIL
B_Exp2_to_Exp1,Exp1,250,diagonal,ry,9,low_activity_evidence,0.03297709055736256,460.5,320.5,-140.0,True,False,True,FAIL
B_Exp2_to_Exp1,Exp1,250,diagonal,ry,9,directed_change_evidence,0.03297709055736256,8180.5,,,False,False,False,FAIL
B_Exp2_to_Exp1,Exp1,250,diagonal,ry,9,acceleration_evidence,0.03297709055736256,14660.5,,,False,False,False,FAIL
B_Exp2_to_Exp1,Exp1,250,diagonal,ry,9,abrupt_change_evidence,0.03297709055736256,14455.5,,,False,False,False,FAIL
B_Exp2_to_Exp1,Exp1,250,diagonal,rs,5,low_activity_evidence,0.7387083211706613,460.5,320.5,-140.0,True,False,True,FAIL
B_Exp2_to_Exp1,Exp1,250,diagonal,rs,5,directed_change_evidence,0.7387083211706613,8180.5,,,False,False,False,FAIL
B_Exp2_to_Exp1,Exp1,250,diagonal,rs,5,acceleration_evidence,0.7387083211706613,14660.5,,,False,False,False,FAIL
B_Exp2_to_Exp1,Exp1,250,diagonal,rs,5,abrupt_change_evidence,0.7387083211706613,14455.5,,,False,False,False,FAIL
B_Exp2_to_Exp1,Exp1,500,mahalanobis,none,10,low_activity_evidence,0.9999999999999998,460.5,460.5,0.0,True,True,True,PASS
B_Exp2_to_Exp1,Exp1,500,mahalanobis,none,10,directed_change_evidence,0.9999999999999998,8180.5,8180.5,0.0,True,True,True,PASS
B_Exp2_to_Exp1,Exp1,500,mahalanobis,none,10,acceleration_evidence,0.9999999999999998,14660.5,14660.5,0.0,True,True,True,PASS
B_Exp2_to_Exp1,Exp1,500,mahalanobis,none,10,abrupt_change_evidence,0.9999999999999998,14455.5,14455.5,0.0,True,True,True,PASS
B_Exp2_to_Exp1,Exp1,500,mahalanobis,rx,6,low_activity_evidence,0.8722792258652631,460.5,340.5,-120.0,True,True,True,PASS
B_Exp2_to_Exp1,Exp1,500,mahalanobis,rx,6,directed_change_evidence,0.8722792258652631,8180.5,39950.5,31770.0,True,True,False,FAIL
B_Exp2_to_Exp1,Exp1,500,mahalanobis,rx,6,acceleration_evidence,0.8722792258652631,14660.5,21255.5,6595.0,True,True,False,FAIL
B_Exp2_to_Exp1,Exp1,500,mahalanobis,rx,6,abrupt_change_evidence,0.8722792258652631,14455.5,44465.5,30010.0,True,True,False,FAIL
B_Exp2_to_Exp1,Exp1,500,mahalanobis,ry,9,low_activity_evidence,0.8359327457412713,460.5,440.5,-20.0,True,True,True,PASS
B_Exp2_to_Exp1,Exp1,500,mahalanobis,ry,9,directed_change_evidence,0.8359327457412713,8180.5,8220.5,40.0,True,True,True,PASS
B_Exp2_to_Exp1,Exp1,500,mahalanobis,ry,9,acceleration_evidence,0.8359327457412713,14660.5,14665.5,5.0,True,True,True,PASS
B_Exp2_to_Exp1,Exp1,500,mahalanobis,ry,9,abrupt_change_evidence,0.8359327457412713,14455.5,14455.5,0.0,True,True,True,PASS
B_Exp2_to_Exp1,Exp1,500,mahalanobis,rs,5,low_activity_evidence,0.8584598439965269,460.5,345.5,-115.0,True,True,True,PASS
B_Exp2_to_Exp1,Exp1,500,mahalanobis,rs,5,directed_change_evidence,0.8584598439965269,8180.5,39945.5,31765.0,True,True,False,FAIL
B_Exp2_to_Exp1,Exp1,500,mahalanobis,rs,5,acceleration_evidence,0.8584598439965269,14660.5,44455.5,29795.0,True,True,False,FAIL
B_Exp2_to_Exp1,Exp1,500,mahalanobis,rs,5,abrupt_change_evidence,0.8584598439965269,14455.5,44460.5,30005.0,True,True,False,FAIL
B_Exp2_to_Exp1,Exp1,500,diagonal,none,10,low_activity_evidence,0.1778216410094426,460.5,335.5,-125.0,True,False,True,FAIL
B_Exp2_to_Exp1,Exp1,500,diagonal,none,10,directed_change_evidence,0.1778216410094426,8180.5,,,False,False,False,FAIL
B_Exp2_to_Exp1,Exp1,500,diagonal,none,10,acceleration_evidence,0.1778216410094426,14660.5,,,False,False,False,FAIL
B_Exp2_to_Exp1,Exp1,500,diagonal,none,10,abrupt_change_evidence,0.1778216410094426,14455.5,,,False,False,False,FAIL
B_Exp2_to_Exp1,Exp1,500,diagonal,rx,6,low_activity_evidence,0.09361553665857353,460.5,335.5,-125.0,True,False,True,FAIL
B_Exp2_to_Exp1,Exp1,500,diagonal,rx,6,directed_change_evidence,0.09361553665857353,8180.5,,,False,False,False,FAIL
B_Exp2_to_Exp1,Exp1,500,diagonal,rx,6,acceleration_evidence,0.09361553665857353,14660.5,,,False,False,False,FAIL
B_Exp2_to_Exp1,Exp1,500,diagonal,rx,6,abrupt_change_evidence,0.09361553665857353,14455.5,,,False,False,False,FAIL
B_Exp2_to_Exp1,Exp1,500,diagonal,ry,9,low_activity_evidence,0.002181673728852418,460.5,335.5,-125.0,True,False,True,FAIL
B_Exp2_to_Exp1,Exp1,500,diagonal,ry,9,directed_change_evidence,0.002181673728852418,8180.5,,,False,False,False,FAIL
B_Exp2_to_Exp1,Exp1,500,diagonal,ry,9,acceleration_evidence,0.002181673728852418,14660.5,,,False,False,False,FAIL
B_Exp2_to_Exp1,Exp1,500,diagonal,ry,9,abrupt_change_evidence,0.002181673728852418,14455.5,,,False,False,False,FAIL
B_Exp2_to_Exp1,Exp1,500,diagonal,rs,5,low_activity_evidence,0.656273369434741,460.5,335.5,-125.0,True,False,True,FAIL
B_Exp2_to_Exp1,Exp1,500,diagonal,rs,5,directed_change_evidence,0.656273369434741,8180.5,,,False,False,False,FAIL
B_Exp2_to_Exp1,Exp1,500,diagonal,rs,5,acceleration_evidence,0.656273369434741,14660.5,,,False,False,False,FAIL
B_Exp2_to_Exp1,Exp1,500,diagonal,rs,5,abrupt_change_evidence,0.656273369434741,14455.5,,,False,False,False,FAIL
B_Exp2_to_Exp1,Exp1,1000,mahalanobis,none,10,low_activity_evidence,0.981658534576039,460.5,325.5,-135.0,True,True,True,PASS
B_Exp2_to_Exp1,Exp1,1000,mahalanobis,none,10,directed_change_evidence,0.981658534576039,8180.5,39945.5,31765.0,True,True,False,FAIL
B_Exp2_to_Exp1,Exp1,1000,mahalanobis,none,10,acceleration_evidence,0.981658534576039,14660.5,14665.5,5.0,True,True,True,PASS
B_Exp2_to_Exp1,Exp1,1000,mahalanobis,none,10,abrupt_change_evidence,0.981658534576039,14455.5,14455.5,0.0,True,True,True,PASS
B_Exp2_to_Exp1,Exp1,1000,mahalanobis,rx,6,low_activity_evidence,0.8956156270192706,460.5,335.5,-125.0,True,True,True,PASS
B_Exp2_to_Exp1,Exp1,1000,mahalanobis,rx,6,directed_change_evidence,0.8956156270192706,8180.5,39945.5,31765.0,True,True,False,FAIL
B_Exp2_to_Exp1,Exp1,1000,mahalanobis,rx,6,acceleration_evidence,0.8956156270192706,14660.5,44615.5,29955.0,True,True,False,FAIL
B_Exp2_to_Exp1,Exp1,1000,mahalanobis,rx,6,abrupt_change_evidence,0.8956156270192706,14455.5,,,False,True,False,FAIL
B_Exp2_to_Exp1,Exp1,1000,mahalanobis,ry,9,low_activity_evidence,0.7521077950163014,460.5,330.5,-130.0,True,False,True,FAIL
B_Exp2_to_Exp1,Exp1,1000,mahalanobis,ry,9,directed_change_evidence,0.7521077950163014,8180.5,,,False,False,False,FAIL
B_Exp2_to_Exp1,Exp1,1000,mahalanobis,ry,9,acceleration_evidence,0.7521077950163014,14660.5,14670.5,10.0,True,False,True,FAIL
B_Exp2_to_Exp1,Exp1,1000,mahalanobis,ry,9,abrupt_change_evidence,0.7521077950163014,14455.5,14455.5,0.0,True,False,True,FAIL
B_Exp2_to_Exp1,Exp1,1000,mahalanobis,rs,5,low_activity_evidence,0.8494968944282568,460.5,335.5,-125.0,True,True,True,PASS
B_Exp2_to_Exp1,Exp1,1000,mahalanobis,rs,5,directed_change_evidence,0.8494968944282568,8180.5,39945.5,31765.0,True,True,False,FAIL
B_Exp2_to_Exp1,Exp1,1000,mahalanobis,rs,5,acceleration_evidence,0.8494968944282568,14660.5,44640.5,29980.0,True,True,False,FAIL
B_Exp2_to_Exp1,Exp1,1000,mahalanobis,rs,5,abrupt_change_evidence,0.8494968944282568,14455.5,,,False,True,False,FAIL
B_Exp2_to_Exp1,Exp1,1000,diagonal,none,10,low_activity_evidence,0.6794285886870661,460.5,325.5,-135.0,True,False,True,FAIL
B_Exp2_to_Exp1,Exp1,1000,diagonal,none,10,directed_change_evidence,0.6794285886870661,8180.5,,,False,False,False,FAIL
B_Exp2_to_Exp1,Exp1,1000,diagonal,none,10,acceleration_evidence,0.6794285886870661,14660.5,,,False,False,False,FAIL
B_Exp2_to_Exp1,Exp1,1000,diagonal,none,10,abrupt_change_evidence,0.6794285886870661,14455.5,,,False,False,False,FAIL
B_Exp2_to_Exp1,Exp1,1000,diagonal,rx,6,low_activity_evidence,0.680775765182512,460.5,325.5,-135.0,True,False,True,FAIL
B_Exp2_to_Exp1,Exp1,1000,diagonal,rx,6,directed_change_evidence,0.680775765182512,8180.5,,,False,False,False,FAIL
B_Exp2_to_Exp1,Exp1,1000,diagonal,rx,6,acceleration_evidence,0.680775765182512,14660.5,,,False,False,False,FAIL
B_Exp2_to_Exp1,Exp1,1000,diagonal,rx,6,abrupt_change_evidence,0.680775765182512,14455.5,,,False,False,False,FAIL
B_Exp2_to_Exp1,Exp1,1000,diagonal,ry,9,low_activity_evidence,0.613150039759624,460.5,325.5,-135.0,True,False,True,FAIL
B_Exp2_to_Exp1,Exp1,1000,diagonal,ry,9,directed_change_evidence,0.613150039759624,8180.5,,,False,False,False,FAIL
B_Exp2_to_Exp1,Exp1,1000,diagonal,ry,9,acceleration_evidence,0.613150039759624,14660.5,,,False,False,False,FAIL
B_Exp2_to_Exp1,Exp1,1000,diagonal,ry,9,abrupt_change_evidence,0.613150039759624,14455.5,,,False,False,False,FAIL
B_Exp2_to_Exp1,Exp1,1000,diagonal,rs,5,low_activity_evidence,0.6961998063889904,460.5,325.5,-135.0,True,False,True,FAIL
B_Exp2_to_Exp1,Exp1,1000,diagonal,rs,5,directed_change_evidence,0.6961998063889904,8180.5,,,False,False,False,FAIL
B_Exp2_to_Exp1,Exp1,1000,diagonal,rs,5,acceleration_evidence,0.6961998063889904,14660.5,,,False,False,False,FAIL
B_Exp2_to_Exp1,Exp1,1000,diagonal,rs,5,abrupt_change_evidence,0.6961998063889904,14455.5,,,False,False,False,FAIL
