window_index,event,candidate_id,new_stage,source_predicted_stage,reason,direction_id,ablation
573,CANDIDATE_REJECTED,11,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
595,CANDIDATE_ACTIVE,12,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
598,CANDIDATE_REJECTED,12,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
610,CANDIDATE_ACTIVE,13,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
622,CANDIDATE_REJECTED,13,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
635,CANDIDATE_ACTIVE,14,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
643,CANDIDATE_REJECTED,14,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
651,CANDIDATE_ACTIVE,15,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
658,CANDIDATE_REJECTED,15,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
670,CANDIDATE_ACTIVE,16,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
698,CANDIDATE_REJECTED,16,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
712,CANDIDATE_ACTIVE,17,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
714,CANDIDATE_REJECTED,17,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
739,CANDIDATE_ACTIVE,18,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
778,CANDIDATE_REJECTED,18,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
786,CANDIDATE_ACTIVE,19,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
786,CANDIDATE_REJECTED,19,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
794,CANDIDATE_ACTIVE,20,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
795,CANDIDATE_REJECTED,20,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
816,CANDIDATE_ACTIVE,21,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
829,CANDIDATE_REJECTED,21,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
851,CANDIDATE_ACTIVE,22,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
854,CANDIDATE_REJECTED,22,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
861,CANDIDATE_ACTIVE,23,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
862,CANDIDATE_REJECTED,23,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
877,CANDIDATE_ACTIVE,24,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
886,CANDIDATE_REJECTED,24,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
914,CANDIDATE_ACTIVE,25,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
933,CANDIDATE_REJECTED,25,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
949,CANDIDATE_ACTIVE,26,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
958,CANDIDATE_REJECTED,26,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
965,CANDIDATE_ACTIVE,27,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
970,CANDIDATE_REJECTED,27,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
979,CANDIDATE_ACTIVE,28,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
989,CANDIDATE_REJECTED,28,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1010,CANDIDATE_ACTIVE,29,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1033,CANDIDATE_REJECTED,29,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1041,CANDIDATE_ACTIVE,30,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1051,CANDIDATE_REJECTED,30,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1058,CANDIDATE_ACTIVE,31,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1059,CANDIDATE_REJECTED,31,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1074,CANDIDATE_ACTIVE,32,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1086,CANDIDATE_REJECTED,32,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1110,CANDIDATE_ACTIVE,33,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1112,CANDIDATE_REJECTED,33,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1133,CANDIDATE_ACTIVE,34,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1137,CANDIDATE_REJECTED,34,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1156,CANDIDATE_ACTIVE,35,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1167,CANDIDATE_REJECTED,35,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1183,CANDIDATE_ACTIVE,36,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1183,CANDIDATE_REJECTED,36,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1190,CANDIDATE_ACTIVE,37,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1198,CANDIDATE_REJECTED,37,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1210,CANDIDATE_ACTIVE,38,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1219,CANDIDATE_REJECTED,38,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1247,CANDIDATE_ACTIVE,39,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1247,CANDIDATE_REJECTED,39,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1333,CANDIDATE_ACTIVE,40,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1336,CANDIDATE_REJECTED,40,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1429,CANDIDATE_ACTIVE,41,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1429,CANDIDATE_REJECTED,41,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1438,CANDIDATE_ACTIVE,42,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1438,CANDIDATE_REJECTED,42,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1459,CANDIDATE_ACTIVE,43,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1477,CANDIDATE_REJECTED,43,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1484,CANDIDATE_ACTIVE,44,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1490,CANDIDATE_REJECTED,44,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1511,CANDIDATE_ACTIVE,45,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1512,CANDIDATE_REJECTED,45,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1526,CANDIDATE_ACTIVE,46,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1565,CANDIDATE_REJECTED,46,,,CANDIDATE_CRITERIA_FAILED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1566,CANDIDATE_ACTIVE,47,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1598,CANDIDATE_REJECTED,47,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1610,CANDIDATE_ACTIVE,48,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1649,CANDIDATE_REJECTED,48,,,CANDIDATE_CRITERIA_FAILED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1650,CANDIDATE_ACTIVE,49,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1689,CANDIDATE_REJECTED,49,,,CANDIDATE_CRITERIA_FAILED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1690,CANDIDATE_ACTIVE,50,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1698,CANDIDATE_REJECTED,50,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1710,CANDIDATE_ACTIVE,51,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1749,CANDIDATE_REJECTED,51,,,CANDIDATE_CRITERIA_FAILED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1750,CANDIDATE_ACTIVE,52,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1792,CANDIDATE_REJECTED,52,,,CANDIDATE_CRITERIA_FAILED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1793,CANDIDATE_ACTIVE,53,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1798,CANDIDATE_REJECTED,53,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1810,CANDIDATE_ACTIVE,54,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1849,CANDIDATE_REJECTED,54,,,CANDIDATE_CRITERIA_FAILED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1850,CANDIDATE_ACTIVE,55,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1890,CANDIDATE_REJECTED,55,,,CANDIDATE_CRITERIA_FAILED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1891,CANDIDATE_ACTIVE,56,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1898,CANDIDATE_REJECTED,56,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1910,CANDIDATE_ACTIVE,57,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1949,CANDIDATE_REJECTED,57,,,CANDIDATE_CRITERIA_FAILED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1950,CANDIDATE_ACTIVE,58,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1989,CANDIDATE_REJECTED,58,,,CANDIDATE_CRITERIA_FAILED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1990,CANDIDATE_ACTIVE,59,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
1998,CANDIDATE_REJECTED,59,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2010,CANDIDATE_ACTIVE,60,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2049,CANDIDATE_REJECTED,60,,,CANDIDATE_CRITERIA_FAILED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2050,CANDIDATE_ACTIVE,61,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2090,CANDIDATE_REJECTED,61,,,CANDIDATE_CRITERIA_FAILED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2091,CANDIDATE_ACTIVE,62,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2098,CANDIDATE_REJECTED,62,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2110,CANDIDATE_ACTIVE,63,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2113,CANDIDATE_REJECTED,63,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2121,CANDIDATE_ACTIVE,64,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2160,CANDIDATE_REJECTED,64,,,CANDIDATE_CRITERIA_FAILED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2161,CANDIDATE_ACTIVE,65,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2198,CANDIDATE_REJECTED,65,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2210,CANDIDATE_ACTIVE,66,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2249,CANDIDATE_REJECTED,66,,,CANDIDATE_CRITERIA_FAILED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2250,CANDIDATE_ACTIVE,67,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2289,CANDIDATE_REJECTED,67,,,CANDIDATE_CRITERIA_FAILED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2290,CANDIDATE_ACTIVE,68,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2298,CANDIDATE_REJECTED,68,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2310,CANDIDATE_ACTIVE,69,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2349,CANDIDATE_REJECTED,69,,,CANDIDATE_CRITERIA_FAILED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2350,CANDIDATE_ACTIVE,70,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2389,CANDIDATE_REJECTED,70,,,CANDIDATE_CRITERIA_FAILED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2390,CANDIDATE_ACTIVE,71,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2398,CANDIDATE_REJECTED,71,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2410,CANDIDATE_ACTIVE,72,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2449,CANDIDATE_REJECTED,72,,,CANDIDATE_CRITERIA_FAILED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2450,CANDIDATE_ACTIVE,73,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2489,CANDIDATE_REJECTED,73,,,CANDIDATE_CRITERIA_FAILED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2490,CANDIDATE_ACTIVE,74,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2498,CANDIDATE_REJECTED,74,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2510,CANDIDATE_ACTIVE,75,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2549,CANDIDATE_REJECTED,75,,,CANDIDATE_CRITERIA_FAILED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2550,CANDIDATE_ACTIVE,76,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2589,CANDIDATE_REJECTED,76,,,CANDIDATE_CRITERIA_FAILED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2590,CANDIDATE_ACTIVE,77,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2598,CANDIDATE_REJECTED,77,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2610,CANDIDATE_ACTIVE,78,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2649,CANDIDATE_REJECTED,78,,,CANDIDATE_CRITERIA_FAILED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2650,CANDIDATE_ACTIVE,79,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2689,CANDIDATE_REJECTED,79,,,CANDIDATE_CRITERIA_FAILED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2690,CANDIDATE_ACTIVE,80,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2698,CANDIDATE_REJECTED,80,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2710,CANDIDATE_ACTIVE,81,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2749,CANDIDATE_REJECTED,81,,,CANDIDATE_CRITERIA_FAILED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2750,CANDIDATE_ACTIVE,82,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2789,CANDIDATE_REJECTED,82,,,CANDIDATE_CRITERIA_FAILED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2790,CANDIDATE_ACTIVE,83,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2798,CANDIDATE_REJECTED,83,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2810,CANDIDATE_ACTIVE,84,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2849,CANDIDATE_REJECTED,84,,,CANDIDATE_CRITERIA_FAILED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2850,CANDIDATE_ACTIVE,85,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2889,CANDIDATE_REJECTED,85,,,CANDIDATE_CRITERIA_FAILED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2890,CANDIDATE_ACTIVE,86,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2898,CANDIDATE_REJECTED,86,,,GAP_TOLERANCE_EXCEEDED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2910,CANDIDATE_ACTIVE,87,,,,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
2949,CANDIDATE_REJECTED,87,,,CANDIDATE_CRITERIA_FAILED,Exp2_to_Exp1,A3_ORDERED_LEVEL_ONLY
